#,Period,Clock,Type,Detail,Player / Goalie,Opponent Scorer #,Opponent Assist 1 #,Opponent Assist 2 #,Strength,Video Timestamp,Video Segment,Segment Timestamp,Clip Start,Clip End,Segment Clip Start,Segment Clip End,Video Provider,Video Workflow,Clip URL,Edited At
1,3,00:41,GOAL,"#71 Declan Rayner — A: #89 Dellas Potter, #18 Andrew Raimondi • EV",#71 Declan Rayner,,,,EV,44:35:29,SEG-mtxxvhz9,44:19:24,44:35:24,44:35:44,44:19:19,44:19:39,YouTube,POSTGAME,,
2,3,00:43,SHOT,#89 Dellas Potter — On goal,#89 Dellas Potter,,,,,,,,,,,,,POSTGAME,,
3,3,01:07,SHOT,#88 Boston Smith — On goal,#88 Boston Smith,,,,,,,,,,,,,POSTGAME,,
4,3,03:14,OPP SHOT,Save — Emmett Sawchuk,#1 Emmett Sawchuk,,,,,,,,,,,,,POSTGAME,,
5,3,03:53,SHOT,#18 Andrew Raimondi — On goal,#18 Andrew Raimondi,,,,,,,,,,,,,POSTGAME,,
6,3,04:42,PENALTY,#73 Calvin Lind — Interference (02:00),#73 Calvin Lind,,,,,44:19:08,SEG-mtxxvhz9,44:03:03,44:19:03,44:19:23,44:02:58,44:03:18,YouTube,POSTGAME,,
7,3,04:55,SHOT,#73 Calvin Lind — On goal,#73 Calvin Lind,,,,,,,,,,,,,POSTGAME,,
8,3,05:20,SHOT,#73 Calvin Lind — On goal,#73 Calvin Lind,,,,,,,,,,,,,POSTGAME,,
9,3,05:41,OPP SHOT,Save — Emmett Sawchuk,#1 Emmett Sawchuk,,,,,,,,,,,,,POSTGAME,,
10,3,06:21,PENALTY,#77 Alex Poulin — Interference (03:00),#77 Alex Poulin,,,,,44:12:32,SEG-mtxxvhz9,43:56:27,44:12:27,44:12:47,43:56:22,43:56:42,YouTube,POSTGAME,,2026-09-14T01:31:33.513Z
11,3,07:36,GOAL,#3 Carson Bader — A: #16 Sutter Robinson • EV,#3 Carson Bader,,,,EV,44:09:54,SEG-mtxxvhz9,43:53:49,44:09:49,44:10:09,43:53:44,43:54:04,YouTube,POSTGAME,,
12,3,07:36,SHOT,#3 Carson Bader — On goal,#3 Carson Bader,,,,,,,,,,,,,POSTGAME,,
13,3,08:54,SHOT,#18 Andrew Raimondi — On goal,#18 Andrew Raimondi,,,,,,,,,,,,,POSTGAME,,
14,3,11:21,GOAL,#10 Kaden Lasota — Unassisted • SH,#10 Kaden Lasota,,,,SH,43:54:02,SEG-mtxxvhz9,43:37:57,43:53:57,43:54:17,43:37:52,43:38:12,YouTube,POSTGAME,,
15,3,11:35,PENALTY,#13 Blake Youngen — Interference (02:00),#13 Blake Youngen,,,,,43:46:40,SEG-mtxxvhz9,43:30:35,43:46:35,43:46:55,43:30:30,43:30:50,YouTube,POSTGAME,,
